기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,맑음,흐림,비,강한 비,눈,강한 눈,진눈깨비,악천후일수,평균기온(도)
2024,2024-03-17,봄_수트_블레이져(수트)_ZB,ZB,01_시즌,봄,수트,블레이져(수트),1:남성,8944,406,69583700,279000,48551,434240144,2495376000,19711706,113274000,172974.0,3,167326.0,148940,171388.0,39.0,4166,799471913,202263466,1162314000,46.58,1.21,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_수트_블레이져(수트)_ZC,ZC,01_시즌,봄,수트,블레이져(수트),1:남성,2493,90,17032050,279000,53467,133293231,695547000,4812030,25110000,189245.0,3,192464.0,157089,189245.0,32.0,1431,277930530,76511277,399249000,57.4,1.32,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_수트_수트팬츠_ZB,ZB,01_시즌,봄,수트,수트팬츠,1:남성,10722,418,38179200,149000,24414,261761547,1597578000,10204843,62282000,92674.0,3,87946.0,79466,91338.0,39.0,4522,463064643,110397847,673778000,42.17,1.19,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_수트_수트팬츠_ZC,ZC,01_시즌,봄,수트,수트팬츠,1:남성,2990,103,10510550,149000,25777,77073230,445510000,2655031,15347000,102044.0,3,103507.0,84561,102044.0,32.0,1475,153318110,38021075,219775000,49.33,1.32,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_스웨터_T-에리_ZB,ZB,01_시즌,봄,스웨터,T-에리,1:남성,7041,376,12487250,99000,14953,105284073,697059000,5622328,37224000,33211.0,3,34316.0,45856,33211.0,66.0,1633,66668100,24418249,161667000,23.19,0.34,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_스웨터_라운드_ZA,ZA,01_시즌,봄,스웨터,라운드,1:남성,2726,272,9465900,99000,15694,42781844,269874000,4268768,26928000,34801.0,3,33907.0,43123,34801.0,65.0,1696,75973900,26617024,167904000,62.22,0.99,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_스웨터_라운드_ZB,ZB,01_시즌,봄,스웨터,라운드,1:남성,12713,1092,37473300,99000,16066,204247058,1258587000,17544072,108108000,33904.0,3,34181.0,44585,34316.0,65.0,5392,229825740,86627872,533808000,42.41,0.6,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_스웨터_오픈형(CARDIGAN)_ZB,ZB,01_시즌,봄,스웨터,오픈형(CARDIGAN),1:남성,6105,694,26011850,159000,18786,114691582,970695000,13037831,110346000,37501.0,3,35438.0,52989,37481.0,76.0,2509,112555330,47135328,398931000,41.1,0.48,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,여름_니트 셔츠_라운드_ZB,ZB,01_시즌,여름,니트 셔츠,라운드,3:남녀공용,103157,257,14297170,79000,7382,761497039,8149403000,1897154,20303000,55596.0,3,51090.0,29593,55631.0,30.0,582,32108340,3820158,45978000,0.56,0.03,7,0,0,0,0,0,0,0,7.9
2024,2024-03-17,봄_코트_싱글코트_ZB,ZB,01_시즌,봄,코트,싱글코트,1:남성,3151,363,28661200,299000,42749,134702099,942149000,15517887,108537000,78956.0,3,80095.0,109748,78956.0,74.0,2356,206091635,100716644,704444000,74.77,0.64,7,0,0,0,0,0,0,0,7.9
